,y,Advt_12M_Usd,Asset_Turnover,Bb_Yld,Bv,Capex_Ps_Cf,Cash_Per_Share,Cf_Sales,Debtequity,Div_Yld,Eps,Mkt_Cap_12M_Usd,Mom_11M_Usd,Pb,Pe,Roe,Share_Turn_12M,Vol1Y_Usd
95455,0,1.0774556276120228,-0.9121429974350592,-0.8092516692824043,-0.5364946178737577,-0.7124610387858912,-0.08013760893474,1.0037517279555854,0.7914191158228981,-1.6083705023156536,-0.7313316260618244,0.5633919292787588,-1.6548408767903526,1.5912719076462638,1.766622625516875,-0.5268129141592438,1.5124301718532975,1.4274699101441568
236267,0,1.1467081915157802,-0.6683848473989666,1.1553613333070072,1.1905676338445117,-0.3972189909857997,0.2726117921337706,0.2957874678656027,-0.22260662273791612,0.5178311950216771,0.8331107719369676,1.4661745789957394,0.5432075441224993,1.3799630513680026,0.7556754930338129,1.1694145560002565,-1.1212279766156132,-1.689843815375397
102651,1,-1.2771315451157226,-1.4344818903695438,-1.1194537223228378,-0.4674121278050271,1.2490450364146777,1.6836093964078134,0.6497695979105943,0.8963183301567755,-0.005005287930125619,1.6327146642474613,-0.5477251780652171,0.6129868590721137,0.006455485559303724,0.00682576526858161,-0.06741797432437913,-1.5024153402097975,-0.9971074319266074
105684,1,-1.3810103909713582,-0.006755583015286567,1.6034309654765218,-0.4328708827706617,0.16321131621436294,-0.9620111116060168,-0.9785482002963658,-0.9918675278530166,0.6921100226722776,-0.696566239439629,-0.8255044549012113,0.2640902843240417,-1.2613976521102643,-0.3301566122257726,0.0032581702656001217,-1.537068736900178,-0.8239233360644099
23782,0,-1.6233943646345086,-0.5290944759497709,0.6728248063552217,-1.4000257437328931,-1.5881333937861453,-0.5387118303238038,-1.1201410523143625,-1.2715987660766896,-0.5278417708819283,-1.4266393585057318,-1.658842285409193,1.136331721194221,-1.1909613666841774,1.6542951663520904,-1.4102647215339834,-1.537068736900178,0.31909169662609305
222906,0,1.3198396012751732,1.5950836886504651,0.8451592802665737,1.017861408672685,-0.15203073158572855,-0.044862668827888905,-1.1909374783233606,-0.8520019087411802,-0.8415436606530097,-0.5227393063286522,1.2231177117642444,1.310780008568257,0.95734533881148,0.7556754930338129,0.5333292546904441,1.0272826181879722,0.4230021541434116
51148,0,-1.3810103909713582,1.037922202853682,-0.05097998407245611,-1.089154538423604,0.3733726814144237,-1.244210632460825,-1.3679285433458563,0.8963183301567755,-1.2249570814843316,-1.1832816521503642,-1.4505078277821977,1.5201179534171,-1.085306938545047,1.354755275245998,-1.1628982154690566,-0.7400406130214288,1.4967435484890357
237754,1,0.9389504998045086,1.629906281512764,0.6038910167906812,1.1905676338445117,0.8637492002145659,0.8017358937365368,-1.3325303303413571,-0.012808194070161472,0.099562008660235,0.6940492254481859,0.7717263869057541,-1.1314960146682451,-0.9444343676928724,-1.6780861222031889,0.7453576884603814,1.2698563950206347,-0.3043710484778177
265030,1,1.3890921651789303,-0.7032074402612657,-0.3956489318951598,1.5359800841881657,1.073910565414627,0.9781105942707922,-0.2705839402063833,0.7564527110449389,-0.21413988111084664,-1.391873971883537,1.5008969886002386,0.5780972015973065,0.2882006272636521,0.00682576526858161,-1.2689124323540248,-0.9133075964733308,-1.1010178894439258
103395,0,-0.7923635977894219,-0.8773204045727604,0.12135448983889592,-0.4328708827706617,1.4241795074147283,0.3784366124543239,0.7559642369240913,1.001217544490653,1.3892253332746811,0.5549876789594047,-0.5824475876697165,-0.712820124970559,-0.09919894257982703,0.7182330066455512,-0.38546062497928535,-0.8440008030925699,-1.6205701770305183
21500,0,-0.16909052265560695,-1.121078554608853,-1.3951888805810009,-1.4345669887672579,-1.623160287986155,-0.11541254904159093,1.7117159880455681,-1.6562292186342398,-0.14442835005060622,-1.0094547190393877,-1.068561322132706,-0.712820124970559,0.006455485559303724,0.00682576526858161,-0.9155317094041292,1.5124301718532975,1.4621067293165964
576,1,0.5234351163819653,0.3414703456077029,1.4655633863474409,-1.676355704007816,-1.5531064995861352,-0.15068748914844202,0.2957874678656027,0.022158210707797672,-0.21413988111084664,-0.38367775983987057,0.9800608445327498,-0.4337028651721016,0.006455485559303724,0.3812506291511972,0.0032581702656001217,-0.7053872163310483,-0.4082815059951361
265548,0,1.596849856890202,-1.121078554608853,1.3621627020006295,1.5359800841881657,-0.3621920967857895,1.6483344563009623,0.8975570889420881,1.630612830493917,0.099562008660235,1.0764684782923355,1.6745090366227346,-0.3290338927476802,1.3799630513680026,-0.1429441802844646,1.2754287728852254,-0.774694009711809,-1.2742019853061233
208565,0,0.2117985788150579,1.2468577600274755,0.7417585959197626,0.8451551835008578,0.3383457872144135,-0.11541254904159093,-1.0139464133008649,-0.9918675278530166,1.14523497456384,-0.41844314646206604,0.14672301402476784,-1.305944302042281,-1.4374883656754822,-0.8543514216614344,-0.9155317094041292,0.4728282711418856,0.7000967075229274
