STATION,DATE,REPORT_TYPE,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity
74486094789,2016-12-29T14:44:00,FM-16,,,
74486094789,2016-12-29T14:51:00,FM-15,,,
74486094789,2016-12-29T15:39:00,FM-16,,,
74486094789,2016-12-29T15:51:00,FM-15,,,
74486094789,2016-12-29T16:00:00,FM-12,,,
74486094789,2016-12-29T16:13:00,FM-16,,,
74486094789,2016-12-29T16:51:00,FM-15,,,
74486094789,2016-12-29T17:51:00,FM-15,,,
74486094789,2016-12-29T18:51:00,FM-15,,,
74486094789,2016-12-29T19:00:00,FM-12,,,
74486094789,2016-12-29T19:51:00,FM-15,,,
74486094789,2016-12-29T20:51:00,FM-15,,,
74486094789,2016-12-29T21:51:00,FM-15,,,
74486094789,2016-12-29T22:00:00,FM-12,,,
74486094789,2016-12-29T22:51:00,FM-15,,,
74486094789,2016-12-29T23:51:00,FM-15,,,
74486094789,2016-12-29T23:59:00,SOD  ,31,38,70
74486094789,2016-12-30T00:51:00,FM-15,,,
74486094789,2016-12-30T01:00:00,FM-12,,,
74486094789,2016-12-30T01:51:00,FM-15,,,
74486094789,2016-12-30T02:51:00,FM-15,,,
74486094789,2016-12-30T03:51:00,FM-15,,,
74486094789,2016-12-30T04:00:00,FM-12,,,
74486094789,2016-12-30T04:51:00,FM-15,,,
74486094789,2016-12-30T05:51:00,FM-15,,,
74486094789,2016-12-30T06:51:00,FM-15,,,
74486094789,2016-12-30T07:00:00,FM-12,,,
74486094789,2016-12-30T07:51:00,FM-15,,,
74486094789,2016-12-30T08:51:00,FM-15,,,
74486094789,2016-12-30T09:51:00,FM-15,,,
74486094789,2016-12-30T10:00:00,FM-12,,,
74486094789,2016-12-30T10:51:00,FM-15,,,
74486094789,2016-12-30T11:51:00,FM-15,,,
74486094789,2016-12-30T12:51:00,FM-15,,,
74486094789,2016-12-30T13:00:00,FM-12,,,
74486094789,2016-12-30T13:51:00,FM-15,,,
74486094789,2016-12-30T14:51:00,FM-15,,,
74486094789,2016-12-30T15:51:00,FM-15,,,
74486094789,2016-12-30T16:00:00,FM-12,,,
74486094789,2016-12-30T16:51:00,FM-15,,,
74486094789,2016-12-30T17:32:00,FM-16,,,
74486094789,2016-12-30T17:51:00,FM-15,,,
74486094789,2016-12-30T18:51:00,FM-15,,,
74486094789,2016-12-30T19:00:00,FM-12,,,
74486094789,2016-12-30T19:51:00,FM-15,,,
74486094789,2016-12-30T20:51:00,FM-15,,,
74486094789,2016-12-30T21:51:00,FM-15,,,
74486094789,2016-12-30T22:00:00,FM-12,,,
74486094789,2016-12-30T22:51:00,FM-15,,,
74486094789,2016-12-30T23:51:00,FM-15,,,
74486094789,2016-12-30T23:59:00,SOD  ,21,39,51
74486094789,2016-12-31T00:51:00,FM-15,,,
74486094789,2016-12-31T01:00:00,FM-12,,,
74486094789,2016-12-31T01:51:00,FM-15,,,
74486094789,2016-12-31T02:51:00,FM-15,,,
74486094789,2016-12-31T03:51:00,FM-15,,,
74486094789,2016-12-31T04:00:00,FM-12,,,
74486094789,2016-12-31T04:51:00,FM-15,,,
74486094789,2016-12-31T05:51:00,FM-15,,,
74486094789,2016-12-31T06:51:00,FM-15,,,
74486094789,2016-12-31T07:00:00,FM-12,,,
74486094789,2016-12-31T07:51:00,FM-15,,,
74486094789,2016-12-31T08:51:00,FM-15,,,
74486094789,2016-12-31T09:51:00,FM-15,,,
74486094789,2016-12-31T10:00:00,FM-12,,,
74486094789,2016-12-31T10:51:00,FM-15,,,
74486094789,2016-12-31T11:51:00,FM-15,,,
74486094789,2016-12-31T12:51:00,FM-15,,,
74486094789,2016-12-31T13:00:00,FM-12,,,
74486094789,2016-12-31T13:51:00,FM-15,,,
74486094789,2016-12-31T14:51:00,FM-15,,,
74486094789,2016-12-31T15:51:00,FM-15,,,
74486094789,2016-12-31T16:00:00,FM-12,,,
74486094789,2016-12-31T16:51:00,FM-15,,,
74486094789,2016-12-31T17:51:00,FM-15,,,
74486094789,2016-12-31T18:51:00,FM-15,,,
74486094789,2016-12-31T19:00:00,FM-12,,,
74486094789,2016-12-31T19:51:00,FM-15,,,
74486094789,2016-12-31T20:51:00,FM-15,,,
74486094789,2016-12-31T21:51:00,FM-15,,,
74486094789,2016-12-31T22:00:00,FM-12,,,
74486094789,2016-12-31T22:51:00,FM-15,,,
74486094789,2016-12-31T23:51:00,FM-15,,,
74486094789,2016-12-31T23:59:00,SOD  ,21,39,46
74486094789,2016-12-31T23:59:00,SOM  ,,,
74486094789,2017-01-01T00:51:00,FM-15,,,
74486094789,2017-01-01T01:00:00,FM-12,,,
74486094789,2017-01-01T01:51:00,FM-15,,,
74486094789,2017-01-01T02:51:00,FM-15,,,
74486094789,2017-01-01T03:51:00,FM-15,,,
74486094789,2017-01-01T04:00:00,FM-12,,,
74486094789,2017-01-01T04:51:00,FM-15,,,
74486094789,2017-01-01T05:51:00,FM-15,,,
74486094789,2017-01-01T06:51:00,FM-15,,,
74486094789,2017-01-01T07:00:00,FM-12,,,
74486094789,2017-01-01T07:51:00,FM-15,,,
74486094789,2017-01-01T08:51:00,FM-15,,,
74486094789,2017-01-01T09:51:00,FM-15,,,
74486094789,2017-01-01T10:00:00,FM-12,,,
74486094789,2017-01-01T10:51:00,FM-15,,,
74486094789,2017-01-01T11:51:00,FM-15,,,
74486094789,2017-01-01T12:51:00,FM-15,,,
74486094789,2017-01-01T13:00:00,FM-12,,,
74486094789,2017-01-01T13:51:00,FM-15,,,
74486094789,2017-01-01T14:51:00,FM-15,,,
74486094789,2017-01-01T15:51:00,FM-15,,,
74486094789,2017-01-01T16:00:00,FM-12,,,
74486094789,2017-01-01T16:51:00,FM-15,,,
74486094789,2017-01-01T17:51:00,FM-15,,,
74486094789,2017-01-01T18:51:00,FM-15,,,
74486094789,2017-01-01T19:00:00,FM-12,,,
74486094789,2017-01-01T19:51:00,FM-15,,,
74486094789,2017-01-01T20:51:00,FM-15,,,
74486094789,2017-01-01T21:51:00,FM-15,,,
74486094789,2017-01-01T22:00:00,FM-12,,,
74486094789,2017-01-01T22:51:00,FM-15,,,
74486094789,2017-01-01T23:51:00,FM-15,,,
74486094789,2017-01-01T23:59:00,SOD  ,21,43,41
74486094789,2017-01-02T00:51:00,FM-15,,,
74486094789,2017-01-02T01:00:00,FM-12,,,
74486094789,2017-01-02T01:51:00,FM-15,,,
74486094789,2017-01-02T02:51:00,FM-15,,,
74486094789,2017-01-02T03:51:00,FM-15,,,
74486094789,2017-01-02T04:00:00,FM-12,,,
74486094789,2017-01-02T04:51:00,FM-15,,,
74486094789,2017-01-02T05:51:00,FM-15,,,
74486094789,2017-01-02T06:51:00,FM-15,,,
74486094789,2017-01-02T07:00:00,FM-12,,,
74486094789,2017-01-02T07:32:00,FM-16,,,
74486094789,2017-01-02T07:43:00,FM-16,,,
74486094789,2017-01-02T07:51:00,FM-15,,,
74486094789,2017-01-02T08:51:00,FM-15,,,
74486094789,2017-01-02T09:51:00,FM-15,,,
74486094789,2017-01-02T10:00:00,FM-12,,,
74486094789,2017-01-02T10:51:00,FM-15,,,
74486094789,2017-01-02T11:51:00,FM-15,,,
74486094789,2017-01-02T12:51:00,FM-15,,,
74486094789,2017-01-02T13:00:00,FM-12,,,
74486094789,2017-01-02T13:51:00,FM-15,,,
74486094789,2017-01-02T14:51:00,FM-15,,,
74486094789,2017-01-02T15:51:00,FM-15,,,
74486094789,2017-01-02T16:00:00,FM-12,,,
74486094789,2017-01-02T16:29:00,FM-16,,,
74486094789,2017-01-02T16:51:00,FM-15,,,
74486094789,2017-01-02T17:17:00,FM-16,,,
74486094789,2017-01-02T17:51:00,FM-15,,,
74486094789,2017-01-02T18:49:00,FM-16,,,
74486094789,2017-01-02T18:51:00,FM-15,,,
74486094789,2017-01-02T19:00:00,FM-12,,,
74486094789,2017-01-02T19:36:00,FM-16,,,
74486094789,2017-01-02T19:51:00,FM-15,,,
74486094789,2017-01-02T20:51:00,FM-15,,,
74486094789,2017-01-02T21:51:00,FM-15,,,
74486094789,2017-01-02T22:00:00,FM-12,,,
74486094789,2017-01-02T22:51:00,FM-15,,,
74486094789,2017-01-02T23:51:00,FM-15,,,
74486094789,2017-01-02T23:59:00,SOD  ,31,39,73
74486094789,2017-01-03T00:51:00,FM-15,,,
74486094789,2017-01-03T01:00:00,FM-12,,,
74486094789,2017-01-03T01:51:00,FM-15,,,
74486094789,2017-01-03T02:51:00,FM-15,,,
74486094789,2017-01-03T03:51:00,FM-15,,,
74486094789,2017-01-03T04:00:00,FM-12,,,
74486094789,2017-01-03T04:39:00,FM-16,,,
74486094789,2017-01-03T04:51:00,FM-15,,,
74486094789,2017-01-03T05:51:00,FM-15,,,
74486094789,2017-01-03T06:51:00,FM-15,,,
74486094789,2017-01-03T07:00:00,FM-12,,,
74486094789,2017-01-03T07:51:00,FM-15,,,
74486094789,2017-01-03T08:49:00,FM-16,,,
74486094789,2017-01-03T08:51:00,FM-15,,,
74486094789,2017-01-03T09:51:00,FM-15,,,
74486094789,2017-01-03T10:00:00,FM-12,,,
74486094789,2017-01-03T10:51:00,FM-15,,,
74486094789,2017-01-03T11:36:00,FM-16,,,
